Hour,Highway,Visibility,Rain
11,0,0.2mi,0
11,0,0.2mi,0
16,0,0.2mi,0
15,0,0.2mi,0
14,0,0.2mi,0
19,0,0.2mi,0
21,0,0.2mi,0
21,0,0.2mi,0
18,0,0.2mi,0
15,0,0.1mi,0
15,0,0.2mi,0
21,0,0.2mi,0
9,0,0.2mi,0
9,0,0.2mi,0
8,0,0.2mi,0
9,0,0.2mi,0
9,0,0.2mi,0
8,0,0.2mi,0
22,0,0.2mi,0
20,0,0.2mi,0
17,0,0.2mi,0
16,0,0.2mi,0
15,0,0.2mi,0
22,0,0.2mi,0
18,0,0.2mi,0
17,0,0.1mi,0
12,0,0.2mi,0
12,0,0.2mi,0
11,0,0.2mi,0
11,0,0.2mi,0
11,0,0.2mi,0
11,0,0.2mi,0
11,0,0.2mi,0
11,0,0.2mi,0
10,0,0.2mi,0
10,0,0.2mi,0
9,0,0.2mi,0
9,0,0.2mi,0
9,0,0.2mi,0
8,0,0.2mi,0
9,0,0.2mi,0
9,0,0.2mi,0
8,0,0.2mi,0
8,0,0.2mi,0
8,0,0.2mi,0
8,0,0.2mi,0
22,0,0.2mi,0
17,0,0.2mi,0
16,0,0.2mi,0
16,0,0.2mi,0
18,0,0.2mi,0
16,0,0.2mi,0
16,0,0.1mi,0
19,0,0.2mi,0
12,0,0.2mi,0
12,0,0.2mi,0
12,0,0.2mi,0
12,0,0.2mi,0
11,0,0.2mi,0
22,0,0.2mi,0
16,0,0.2mi,0
17,0,0.2mi,0
17,0,0.2mi,0
14,0,0.2mi,0
1,0,0.2mi,0
1,0,0.2mi,0
17,0,0.2mi,0
16,0,0.2mi,0
16,0,0.2mi,0
18,0,0.2mi,0
21,0,0.2mi,0
18,0,0.2mi,0
18,0,0.2mi,0
18,0,0.2mi,0
18,0,0.2mi,0
18,0,0.2mi,0
16,0,0.2mi,0
16,0,0.2mi,0
16,0,0.2mi,0
16,0,0.2mi,0
